quotation_id,customer_key,customer_name,nationality,quote_date,quote_value,shipping_mode,item_count,po_exists,po_value,do_exists,conversion_days,lead_score
0010b98c,f63e6d5a,IL111A66Sq,Unknown,,3324.0,Sea,19.0,0,,0,-1.0,59.42
0010cc5a,8Nzo71FGPE,nY8F51VM4y,Chinese National,,600.0,Air,1.0,1,600.0,1,-1.0,77.51
0027d866,f63e6d5a,IL111A66Sq,Unknown,,0.0,Air,19.0,0,,0,-1.0,60.75
0051e27d,8Nzo71FGPE,nY8F51VM4y,Chinese National,,4442.17,Air,4.0,1,4442.17,1,-1.0,73.85
005407ee,D5Fk7289x1,nY8F51VM4y,Unknown,2022-03-10 15:42:00,201.43,Air,4.0,1,201.43,1,-1.0,75.2
00d0331b,PCxZ1ce9Pm,74q0TneDjU,caucasian,2023-01-01 16:02:00,4432.09,Air,38.0,0,,0,-1.0,37.92
00ee5a8f,FIc17Ck457,S4NrbiX419,Singaporean,2023-09-02 12:23:00,3699.85,Air,2.0,1,3699.85,1,-1.0,75.78
010ce85b,06suB5p2mX,T7Y79rjV29,Unknown,,296.0,Air,1.0,1,296.0,1,-1.0,77.6
010e1cff,0V2xk11Hj4,3a32oZcB0f,Chinese national (China),,506.91,Air,19.0,0,,0,-1.0,60.55
01688c16,ItssapCSik,0lCPPgO3Uc,Unknown,,1058.23,Air,5.0,1,1058.23,0,-1.0,74.07
016f5c49,f63e6d5a,IL111A66Sq,Unknown,2023-08-03 14:30:00,542.75,Air,57.0,0,,0,-1.0,21.7
01ac7c23,15jpR2Djf1,8ruhF3E51g,Unknown,2022-01-04 10:15:00,2238.0,Air,1.0,1,2238.0,1,-1.0,77.03
01b1c695,Hn0UKWO403,,Unknown,2022-05-09 08:52:00,1136.92,Air,63.0,1,1136.92,1,-1.0,17.31
020de859,GSdCKW3Z5w,8ruhF3E51g,Singaporean,,1735.0,Air,1.0,1,1735.0,1,-1.0,77.18
